city,city_ascii,lat,lng,country,iso2,iso3,admin_name,capital,population,id,nearest_region_idx,dist_km_nearest_region,access_score,nearest_provider,nearest_region,nearest_location_name,nearest_lat,nearest_lon,openalex_match_km,openalex_geo_city,openalex_ai_works_recent,openalex_ai_institution_count,openalex_lat,openalex_lon,openalex_match_ok,log_ai_works,ai_works_per_million,log_ai_works_per_million
Changsha,Changsha,28.1987,112.9709,China,CN,CHN,Hunan,admin,8394500.0,1156961497,1,669.0174578811582,71.56895975886654,aws,ap-east-1,Asia Pacific (Hong Kong),22.2793278,114.1628131,12.665650412729377,Changsha,76,1,28.255634307861328,113.08287048339844,True,4.343805421853684,9.053546965274883,2.3079255041074305
Zhangjiajie,Zhangjiajie,29.1255,110.4844,China,CN,CHN,Hunan,minor,1549200.0,1156072884,1,845.6155945048856,65.5204553125655,aws,ap-east-1,Asia Pacific (Hong Kong),22.2793278,114.1628131,0.7343754271944907,Zhangjiajie,64,1,29.129440307617188,110.47833251953124,True,4.174387269895637,41.31164471985541,3.7450623370526706
Anqing,Anqing,30.5,117.0333,China,CN,CHN,Anhui,minor,4723000.0,1156238875,76,794.0247986538449,67.23256891949556,gcp,asia-east1,"Changhua County, Taiwan, APAC",24.0755667,120.5444667,2.1167629242948727,Anking,63,1,30.51416778564453,117.04805755615234,True,4.1588830833596715,13.338979462206224,2.6629816654288025
Jingdezhen,Jingdezhen,29.2942,117.2036,China,CN,CHN,Jiangxi,minor,1587477.0,1156038165,76,668.4035973350005,71.59092981069382,gcp,asia-east1,"Changhua County, Taiwan, APAC",24.0755667,120.5444667,0.420054956162325,Jingdezhen,63,1,29.294700622558597,117.20789337158205,True,4.1588830833596715,39.68561434275898,3.7058745740164034
Huangshi,Huangshi,30.2018,115.0326,China,CN,CHN,Hubei,minor,2471700.0,1156234290,76,872.3340932888673,64.6509719635387,gcp,asia-east1,"Changhua County, Taiwan, APAC",24.0755667,120.5444667,5.249620648131259,Huangshi,50,1,30.24706077575684,115.0481414794922,True,3.9318256327243257,20.228992191609013,3.0553678036326137
Nanning,Nanning,22.8192,108.315,China,CN,CHN,Guangxi,admin,7153300.0,1156605439,1,603.4881263247051,73.95273129525543,aws,ap-east-1,Asia Pacific (Hong Kong),22.2793278,114.1628131,0.32941496826365413,Nanning,46,2,22.816669732055665,108.31667163940428,True,3.8501476017100584,6.430598465044105,2.0056064025981852
Jinzhou,Jinzhou,41.1144,121.1292,China,CN,CHN,Liaoning,,3000000.0,1156157151,12,422.4072685120343,80.96091859298996,aws,cn-north-1,China (Beijing),39.906217,116.3912757,3.4956662234453817,Jinzhou,40,1,41.145774841308594,121.12657165527344,True,3.713572066704308,13.333333333333334,2.662587827025453
Xi’an,Xi'an,34.2667,108.9,China,CN,CHN,Shaanxi,admin,7135000.0,1156244079,13,429.7868913815948,80.66273852221543,aws,cn-northwest-1,China (Ningxia),37.3095528,105.96085530747736,14.385376099685345,Xi'an,37,1,34.13897705078125,108.87511444091795,True,3.6375861597263857,5.185704274702172,1.8222408675433965
Guiyang,Guiyang,26.5794,106.7078,China,CN,CHN,Guizhou,admin,4365000.0,1156932620,1,893.1373507045772,63.98198188249663,aws,ap-east-1,Asia Pacific (Hong Kong),22.2793278,114.1628131,0.9841213014389487,Guiyang,37,1,26.583330154418945,106.71666717529295,True,3.6375861597263857,8.47651775486827,2.2488169233505806
Chongqing,Chongqing,29.5628,106.5528,China,CN,CHN,Chongqing,admin,7739000.0,1156936556,13,863.1441282371431,64.94872561250416,aws,cn-northwest-1,China (Ningxia),37.3095528,105.96085530747736,0.5523884089453608,Chongqing,34,2,29.56026077270508,106.55770874023438,True,3.5553480614894135,4.393332471895594,1.6851634632395274
