geo_city,geo_country_code,ai_works_recent,ai_institution_count,lat,lon
Kaunas,LT,37,1,54.9027214050293,23.909610748291016
Xi'an,CN,37,1,34.13897705078125,108.87511444091797
Guiyang,CN,37,1,26.583330154418945,106.71666717529297
Compiègne,FR,37,2,49.41794,2.82606
Hwaseong-si,KR,36,1,37.210140228271484,126.97699737548828
Saint-Denis,FR,36,2,48.92768557006836,2.3523414559936526
Daejeon,KR,35,1,36.34913,127.38493
Colombo,LK,35,1,6.935480117797852,79.84867858886719
Timișoara,RO,35,1,45.753719329833984,21.225709915161133
Tunis,TN,34,1,36.83140182495117,10.147199630737305
Chongqing,CN,34,2,29.560260772705078,106.55770874023438
Hildesheim,DE,34,1,52.15077,9.95112
Rende,IT,33,1,39.33154,16.18041
Amman,JO,33,1,31.955219268798828,35.945030212402344
Vellore,IN,32,1,12.9184,79.13255
Villejuif,FR,32,1,48.7939,2.35992
Dindigul,IN,31,1,10.36896,77.98036
Dayton,US,31,1,39.758949279785156,-84.19161224365234
Ankara,TR,31,2,39.91986846923828,32.854270935058594
Cambridge,US,31,1,42.36968994140625,-71.07798767089844
Saint-Etienne,FR,30,1,45.43389,4.39
Cupertino,US,29,1,37.323,-122.03218
Tangdukou,CN,29,1,27.2034969329834,111.43635559082031
Skikda,DZ,28,1,36.84917449951172,6.890708923339844
Khabarovsk,RU,28,1,48.471954345703125,135.0609130859375
Leicester,GB,28,1,52.6386,-1.13169
Piscataway,US,26,1,40.499271392822266,-74.39904022216797
Wako,JP,26,1,35.7894401550293,139.6233367919922
Zaozhuang,CN,26,1,34.86471939086914,117.55416870117188
Chiba,JP,26,1,35.63762664794922,140.2031707763672
Algiers,DZ,25,1,36.75929641723633,3.004081964492798
Rabat,MA,25,1,34.013248443603516,-6.832550048828125
Zurich,CH,25,2,47.379241943359375,8.529630661010742
Santiago de Compostela,ES,25,1,42.87203598022461,-8.561888694763184
Agra,IN,24,2,27.183330267944335,78.0166701135254
Nice,FR,24,1,43.70313,7.26608
Ghent,BE,24,1,51.04999923706055,3.716670036315918
Leshan,CN,23,1,29.579259872436523,103.7619857788086
Canberra,AU,23,1,-35.28346,149.12807
Carbondale,US,23,1,37.72726821899414,-89.21675109863281
Tübingen,DE,23,1,48.53666687011719,9.058889389038086
Takizawa,JP,22,1,39.8000373840332,141.1375732421875
Sambalpur,IN,22,1,21.465269088745117,83.9757308959961
Chiang Mai,TH,22,1,18.790380477905273,98.98468017578125
Ulaanbaatar,MN,22,1,47.921913146972656,106.91881561279297
Tallinn,EE,21,1,59.43695831298828,24.753530502319336
Jerusalem,IL,21,1,31.76904,35.21633
Cuernavaca,MX,20,1,18.87647819519043,-99.22006225585938
Chania,GR,20,1,35.51123809814453,24.02920913696289
Sakai,JP,20,1,34.58332824707031,135.4666748046875
Orsay,FR,20,1,48.69572067260742,2.187269926071167
Doha,QA,20,1,25.285449981689453,51.53096008300781
Jena,DE,19,1,50.92877960205078,11.589900016784668
Washington,US,18,2,38.89511054199219,-77.03636966186524
Kyiv,UA,17,1,50.45466,30.5238
Rockville,US,17,1,39.080509185791016,-77.23397827148438
Suva,FJ,16,1,-18.136829376220703,178.42530822753906
Town of Poughkeepsie,US,16,1,41.6698112487793,-73.90702819824219
Qazvin,IR,16,1,36.268768310546875,50.00410079956055
Nashville,US,16,1,36.165889739990234,-86.78443908691406
Pensacola,US,15,1,30.421310424804688,-87.21691131591797
Brighton,GB,15,1,50.8283805847168,-0.13946999609470367
Hendersonville,US,15,1,35.44007110595703,-88.63941955566406
Pushchino,RU,15,1,54.839569091796875,37.62549591064453
Taichung,TW,15,1,24.144750595092773,120.7302474975586
Kaohsiung City,TW,14,1,22.72960090637207,120.40789794921875
San Diego,US,14,1,32.71571,-117.16472
Tacoma,US,14,1,47.25288009643555,-122.44429016113281
Győr,HU,14,1,47.68333053588867,17.635120391845703
Varna,BG,13,1,43.22297286987305,27.934003829956055
Giza,EG,13,1,30.00943946838379,31.20861053466797
Bedford,US,13,1,42.50493621826172,-71.23655700683594
Hefei,CN,13,1,31.901731491088867,117.17012786865234
Ellensburg,US,12,1,46.99651,-120.54785
Ishikawa,JP,12,1,26.42333,127.82139
