institution_id,institution_name,country_code,geo_city,geo_region,geo_country_code,geo_lat,geo_lon,works_count_total,ai_works_count_recent
I33256026,German Research Centre for Artificial Intelligence,DE,Kaiserslautern,,DE,49.44300079345703,7.771609783172607,10591,216
I2800939219,RIKEN Center for Brain Science,JP,Wako,,JP,35.7894401550293,139.6233367919922,10536,26
I4210089003,Max Planck Institute for Psycholinguistics,NL,Nijmegen,Gelderland,NL,51.8425,5.85278,10483,62
I4210121838,Laboratoire Lorrain de Recherche en Informatique et ses Applications,FR,Nancy,Grand Est,FR,48.68439,6.18496,10390,118
I78744979,La Rochelle Université,FR,La Rochelle,Nouvelle-Aquitaine,FR,46.16308,-1.15222,10358,94
I4210100255,Beijing Academy of Artificial Intelligence,CN,Beijing,,CN,39.99357223510742,116.3315200805664,10310,554
I4210142254,Laboratoire Bordelais de Recherche en Informatique,FR,Talence,Nouvelle-Aquitaine,FR,44.80849,-0.58915,10069,56
I198415970,Université d'Avignon et des Pays de Vaucluse,FR,Avignon,Provence-Alpes-Côte d'Azur,FR,43.94834,4.80892,9991,41
I858936495,ZHAW Zurich University of Applied Sciences,CH,Winterthur,Zurich,CH,47.50564,8.72413,9895,48
I2277624104,Fondazione Bruno Kessler,IT,Trento,Trentino-Alto Adige,IT,46.06787,11.12108,9868,107
I87482320,University of Management and Technology,PK,Lahore,,PK,31.452579498291016,74.29358673095703,9802,90
I63920570,Tennessee Technological University,US,Cookeville,,US,36.162841796875,-85.50164031982422,9774,8
I4210161954,Département d'Informatique,FR,Paris,Île-de-France,FR,48.85341,2.3488,9772,50
I105454292,Guru Gobind Singh Indraprastha University,IN,Delhi,Delhi,IN,28.65195,77.23149,9751,69
I4210109712,Max Planck Institute for Informatics,DE,Saarbrücken,,DE,49.25777816772461,7.04555606842041,9741,82
I44896327,Mitre (United States),US,Bedford,Massachusetts,US,42.50493621826172,-71.23655700683594,9567,13
I4210131288,National Engineering School of Tunis,TN,Tunis,,TN,36.83140182495117,10.147199630737305,9461,34
I2250653659,Tencent (China),CN,Shenzhen,Guangdong,CN,22.54554,114.0683,9321,626
I144581915,Jishou University,CN,Zhangjiajie,,CN,29.129440307617188,110.47833251953125,9299,64
I4210097418,Laboratoire des signaux et systèmes,FR,Gif-sur-Yvette,Île-de-France,FR,48.68333,2.13333,9277,44
I132153292,Indian Institute of Technology Patna,IN,Patna,,IN,25.594079971313477,85.13562774658203,9251,138
I126820664,Vassar College,US,Town of Poughkeepsie,,US,41.6698112487793,-73.90702819824219,9204,16
I89440247,Myongji University,KR,Seoul,,KR,37.580833435058594,126.92388916015625,9190,10
I4210128714,Consorzio Italiano per la Ricerca in Medicina,IT,Milan,,IT,45.49623107910156,9.194457054138184,9156,0
I4210113369,Microsoft Research Asia (China),CN,Beijing,,CN,39.907501220703125,116.39723205566406,9058,327
I150589677,Tampere University of Applied Sciences,FI,Tampere,,FI,61.504032135009766,23.809003829956055,8847,8
I188730046,Vytautas Magnus University,LT,Kaunas,,LT,54.9027214050293,23.909610748291016,8839,37
I83259278,Manouba University,TN,Manouba,Manouba,TN,36.81006,10.09557,8823,53
I4210087266,Institute of Computer Science,PL,Warsaw,,PL,52.225852966308594,20.95012855529785,8751,82
I36090812,Netaji Subhas University of Technology,IN,New Delhi,,IN,28.635759353637695,77.22444915771484,8636,90
I67868205,VNU University of Science,VN,Hanoi,,VN,21.024499893188477,105.84117126464844,8598,56
I162346809,Institut National des Langues et Civilisations Orientales,FR,Paris,Île-de-France,FR,48.85341,2.3488,8594,68
I102117144,Banasthali University,IN,Jaipur,Rajasthan,IN,26.402694702148438,75.87506103515625,8585,65
I195740183,University of Moratuwa,LK,Moratuwa,,LK,6.7729997634887695,79.88159942626953,8567,97
I141591182,University of Aizu,JP,Fukushima,,JP,37.52367401123047,139.93807983398438,8441,59
I155765044,University of Hildesheim,DE,Hildesheim,Lower Saxony,DE,52.15077,9.95112,8410,34
I103356709,Obuda University,HU,Budapest,,HU,47.498348236083984,19.040449142456055,8257,62
I4210144804,Laboratoire de Recherche en Informatique,FR,Gif-sur-Yvette,,FR,48.68333053588867,2.1333301067352295,8235,18
I165737746,Tomas Bata University in Zlín,CZ,Zlín,,CZ,49.2264518737793,17.670650482177734,8207,9
I1323252656,Information Technology University,PK,Lahore,,PK,31.558000564575195,74.3507080078125,8141,54
I196608512,PES University,IN,Bengaluru,,IN,12.971940040588379,77.59368896484375,8052,112
I4210157430,V. A. Trapeznikov Institute of Control Sciences,RU,Moscow,,RU,55.651268005371094,37.537418365478516,8039,61
I4210128584,The Alan Turing Institute,GB,London,England,GB,51.50853,-0.12574,8033,134
I83683471,University of West Florida,US,Pensacola,,US,30.421310424804688,-87.21691131591797,8017,15
I5728261,University of Sunderland,GB,Sunderland,,GB,54.9046516418457,-1.3822200298309326,8004,2
I23582244,Ho Chi Minh City University of Science,VN,Ho Chi Minh City,,VN,10.823019981384277,106.62964630126953,7983,94
I4210165606,Hubei Normal University,CN,Huangshi,,CN,30.247060775756836,115.04814147949219,7911,50
I111483173,King University,US,Bristol,Tennessee,US,36.58729553222656,-82.15910339355469,7827,62
I1341030882,Educational Testing Service,US,Princeton,New Jersey,US,40.34456253051758,-74.712890625,7723,38
I4210104430,Laboratoire d'Informatique de Grenoble,FR,Grenoble,Auvergne-Rhône-Alpes,FR,45.17869,5.71479,7610,150
I4210087136,"Savoirs, Textes, Langage",FR,Villeneuve-d'Ascq,Hauts-de-France,FR,50.61669,3.16664,7556,67
I1307585291,Khulna University of Engineering and Technology,BD,Khulna,,BD,22.809789657592773,89.56439208984375,7507,56
I4210161853,Budapest Institute,HU,Budapest,,HU,47.50014114379883,19.07272720336914,7494,1
I193629610,Tallinn University,EE,Tallinn,,EE,59.43695831298828,24.753530502319336,7482,21
I4210156583,Laboratoire d'Informatique de Paris-Nord,FR,Villetaneuse,Île-de-France,FR,48.95833,2.34167,7376,126
I12607205,University College Ghent,BE,Ghent,,BE,51.04999923706055,3.716670036315918,7363,24
I51441396,Bauhaus-Universität Weimar,DE,Weimar,,DE,50.98030090332031,11.32903003692627,7294,52
I4210114274,Laboratoire d’Informatique et Systèmes,FR,Marseille,,FR,43.29695129394531,5.381070137023926,7240,76
I4210109390,National Center for Biotechnology Information,US,Bethesda,Maryland,US,38.98492431640625,-77.09797668457031,7232,61
I4210089985,Amazon (Germany),DE,Berlin,State of Berlin,DE,52.52437,13.41053,7209,194
I4210125590,Institute for Systems Engineering and Computers,PT,Lisbon,Lisbon,PT,38.72509,-9.1498,7204,22
I185940356,Soochow University,TW,Taipei,,TW,25.095285415649414,121.545654296875,7157,23
I878022262,Korea Institute of Science & Technology Information,KR,Daejeon,Daejeon,KR,36.34913,127.38493,7082,35
I4210143490,Computing Center,RU,Khabarovsk,,RU,48.471954345703125,135.0609130859375,7061,28
I83579964,Széchenyi István University,HU,Győr,,HU,47.68333053588867,17.635120391845703,7057,14
I75256744,Tennessee State University,US,Nashville,,US,36.165889739990234,-86.78443908691406,6997,16
I2898894,Liaoning University of Technology,CN,Jinzhou,,CN,41.145774841308594,121.12657165527344,6974,40
I55215948,Tata Consultancy Services (India),IN,Pune,,IN,18.519569396972656,73.8553466796875,6963,89
I40053085,Australian Defence Force Academy,AU,Canberra,Australian Capital Territory,AU,-35.28346,149.12807,6935,23
I4210155092,"Czech Academy of Sciences, Institute of Computer Science",CZ,Prague,Prague,CZ,50.08804,14.42076,6876,60
I13236232,TOBB University of Economics and Technology,TR,Ankara,,TR,39.91986846923828,32.854270935058594,6833,21
I198412221,HUN-REN Institute for Nuclear Research,HU,Debrecen,,HU,47.53166961669922,21.624439239501953,6799,0
I4210155607,Laboratoire d'Informatique en Images et Systèmes d'Information,FR,Lyon,Auvergne-Rhône-Alpes,FR,45.74846,4.84671,6783,70
I4210102264,Shandong University of Political Science and Law,CN,Jinan,,CN,36.666664123535156,117.08648681640625,6769,42
I65446980,National Chin-Yi University of Technology,TW,Taichung,,TW,24.144750595092773,120.7302474975586,6705,15
I4210091800,Pathways Behavioral Services,US,Waterloo,Iowa,US,42.49810791015625,-92.33547973632812,6699,222
I746986,Halmstad University,SE,Halmstad,,SE,56.674461364746094,12.856760025024414,6581,41
I115212828,Beijing Language and Culture University,CN,Beijing,,CN,39.995784759521484,116.34539794921875,6578,162
I167274908,Guangxi University for Nationalities,CN,Nanning,Guangxi,CN,22.81667,108.31667,6556,24
I4210117005,Laboratoire des Sciences du Numérique de Nantes,FR,Nantes,Pays de la Loire,FR,47.21725,-1.55336,6531,72
I46482218,Anqing Normal University,CN,Anking,,CN,30.51416778564453,117.04805755615234,6507,63
I183898223,International Hellenic University,GR,Thessaloniki,,GR,40.64360809326172,22.93086051940918,6499,66
I188963388,International Institute of Information Technology,IN,Pune,Maharashtra,IN,18.51957,73.85535,6482,98
I4210102957,Département Mathématiques et Informatique Appliquées,FR,Paris,,FR,48.85340881347656,2.34879994392395,6477,34
I97750245,Software (Spain),ES,Tres Cantos,,ES,40.60102462768555,-3.7155539989471436,6433,79
I45928872,Alibaba Group (China),CN,Hangzhou,Zhejiang,CN,30.29365,120.16142,6407,292
I11406153,Shanghai International Studies University,CN,Shanghai,,CN,31.222219467163086,121.45806121826172,6405,95
I2800095910,Yahoo (Spain),ES,Madrid,,ES,40.416500091552734,-3.7025599479675293,6387,1
I148798404,Tokyo University of Technology,JP,Tokyo,,JP,35.68949890136719,139.69171142578125,6386,11
I4210088322,Centre de Gestion Scientifique,FR,Paris,Île-de-France,FR,48.85341,2.3488,6338,6
I31882830,Pázmány Péter Catholic University,HU,Budapest,,HU,47.498348236083984,19.040449142456055,6335,47
I4210164862,Artificial Intelligence in Medicine (Canada),CA,Toronto,Ontario,CA,43.65040588378906,-79.36351013183594,6262,160
I4210152518,Laboratoire d'Informatique Gaspard-Monge,FR,Champs-sur-Marne,Île-de-France,FR,48.85,2.6,6234,45
I98301712,Baidu (China),CN,Beijing,Beijing,CN,39.9075,116.39723,6212,221
I119939252,Indraprastha Institute of Information Technology Delhi,IN,Delhi,,IN,28.65195083618164,77.23149108886719,6159,153
