city,city_ascii,lat,lng,country,iso2,iso3,admin_name,capital,population,id,nearest_region_idx,dist_km_nearest_region,access_score,nearest_provider,nearest_region,nearest_location_name,nearest_lat,nearest_lon,ai_inst_count,ai_works_recent,geo_city,geo_country_code,top_inst_count,top_inst_ai_works,regions_within_1000,regions_within_1500,providers_within_1000,score_proximity,score_provider_diversity,score_redundancy,score_population,score_institutions,bundle_score,distance_only_score,bundle_gain_vs_distance
Leipzig,Leipzig,51.3333,12.3833,Germany,DE,DEU,Saxony,minor,593197.0,1276563678,48,293.8213608756016,86.33710899002068,azure,germanywestcentral,"Frankfurt, Germany West Central, Europe",50.110924,8.682127,4.0,374.0,Leipzig,DE,4.0,374.0,23,29,3,0.9519906685517231,1.0,1.0,0.366896134063305,0.7011973482868054,84.1010289773206,95.1990668551723,-11.09803787785171
Shanghai,Shanghai,31.1667,121.4667,China,CN,CHN,Shanghai,admin,22120000.0,1156073548,76,793.7047997479217,67.24332695436077,gcp,asia-east1,"Changhua County, Taiwan, APAC",24.0755667,120.5444667,3.0,170.0,Shanghai,CN,3.0,170.0,5,12,3,0.8703115502234728,1.0,0.7541312866141433,0.9177267116109782,0.6077792021726889,84.00702001490608,87.03115502234728,-3.0241350074412026
Seoul,Seoul,37.56,126.99,"Korea, South",KR,KOR,Seoul,primary,21794000.0,1410836482,3,1.2714734344175118,99.93644653205617,aws,ap-northeast-2,Asia Pacific (Seoul),37.5666791,126.9782914,1.0,10.0,Seoul,KR,1.0,10.0,8,11,3,0.999792245909696,1.0,0.7305976016521668,0.9154666675542711,0.2858757843496518,83.97079063972919,99.9792245909696,-16.008433951240406
Guangzhou,Guangzhou,23.1288,113.259,China,CN,CHN,Guangdong,admin,20902000.0,1156237133,1,132.35325701532778,93.59655314957531,aws,ap-east-1,Asia Pacific (Hong Kong),22.2793278,114.1628131,1.0,236.0,Guangzhou,CN,1.0,236.0,4,4,3,0.9783739638079,1.0,0.4731974454383393,0.9091055241522904,0.6056774777214095,83.95466526199658,97.83739638079,-13.882731118793416
Hong Kong,Hong Kong,22.305,114.185,Hong Kong,HK,HKG,,primary,7347000.0,1344982653,1,3.655070106460369,99.81741338721272,aws,ap-east-1,Asia Pacific (Hong Kong),22.2793278,114.1628131,2.0,493.0,Hong Kong,HK,2.0,493.0,4,4,3,0.9994027749661059,1.0,0.4731974454383393,0.7499541936169712,0.7033011220346836,83.87290241499416,99.94027749661059,-16.067375081616433
Madrid,Madrid,40.4167,-3.7167,Spain,ES,ESP,Madrid,primary,6026000.0,1724616994,89,1.1105053862348992,99.9444901431132,gcp,europe-southwest1,"Madrid, Spain, Europe",40.4167047,-3.7035825,3.0,150.0,Madrid,ES,3.0,150.0,3,22,2,0.9998185474976906,0.6666666666666666,0.9218795218514612,0.7197833930491894,0.5948228542598273,83.54002843731479,99.98185474976906,-16.441826312454268
Delhi,Delhi,28.66,77.23,India,IN,IND,Delhi,admin,29617000.0,1356872604,82,1.2111279159787238,99.9394619358859,gcp,asia-south2,"Delhi, India APAC",28.6517178,77.2219388,4.0,409.0,Delhi,IN,2.0,222.0,3,8,2,0.9998021061458187,0.6666666666666666,0.646015014942309,0.9621538509470532,0.6204525833931569,83.42140598507054,99.98021061458186,-16.55880462951133
Sheffield,Sheffield,53.3833,-1.4667,United Kingdom,GB,GBR,Sheffield,,685368.0,1826289852,91,227.4763949581556,89.24915818451699,gcp,europe-west2,"London, England, Europe",51.5073219,-0.1276474,1.0,254.0,Sheffield,GB,1.0,254.0,21,28,3,0.9628311923623926,1.0,0.9900324656668077,0.3888807648227351,0.6133026618959353,83.39648608027787,96.28311923623926,-12.886633155961391
Budapest,Budapest,47.4983,19.0408,Hungary,HU,HUN,Budapest,primary,1752286.0,1348611435,87,544.8387247732081,76.15348350509767,gcp,europe-central2,"Warsaw, Poland, Europe",52.2319581,21.0067249,6.0,177.0,Budapest,HU,6.0,177.0,11,24,3,0.9109753530323889,1.0,0.9463948908766786,0.5317702517571689,0.6411042790494266,83.22805544654466,91.09753530323889,-7.869479856694227
Washington,Washington,38.9047,-77.0163,United States,US,USA,District of Columbia,primary,5379184.0,1840006060,104,43.5671657633603,97.84519658941674,gcp,us-east4,"Ashburn, Virginia, North America",39.0437192,-77.4874899,5.0,175.0,Washington,US,2.0,18.0,14,16,3,0.9928812850939018,1.0,0.8330046822133071,0.7024996029309182,0.3639236505595451,83.20667043931263,99.28812850939018,-16.081458070077545
Edinburgh,Edinburgh,55.953,-3.189,United Kingdom,GB,GBR,"Edinburgh, City of",,488050.0,1826492520,18,350.39456120335194,83.92914285176755,aws,eu-west-1,EU (Ireland),53.3497645,-6.2602732,1.0,673.0,Edinburgh,GB,1.0,673.0,14,27,3,0.9427468153562616,1.0,0.9797151227215061,0.33719724797383244,0.7145469165073225,83.18176192229038,94.27468153562616,-11.09291961333578
Chicago,Chicago,41.8373,-87.6862,United States,US,USA,Illinois,,8604203.0,1840000494,52,6.9271940889269095,99.65423942885958,azure,northcentralus,"Illinois, North Central US, US",41.8819,-87.6278,0.0,0.0,Chicago,US,1.0,5.0,14,19,3,0.9988681219226855,1.0,0.8807875396193516,0.7739982617405624,0.22273804917647483,83.11758263495325,99.88681219226855,-16.7692295573153
Jinan,Jinan,36.6667,116.9833,China,CN,CHN,Shandong,admin,7967400.0,1156972469,12,363.9026895134358,83.36419004784754,aws,cn-north-1,China (Beijing),39.906217,116.3912757,2.0,271.0,Jinan,CN,2.0,271.0,5,7,3,0.9405396367925518,1.0,0.6113851412715186,0.7622938719203052,0.64114277671097,82.84391232024399,94.05396367925518,-11.210051359011189
Taipei,Taipei,25.0478,121.5319,Taiwan,TW,TWN,Taipei,primary,2684567.0,1158881289,76,147.17116413563278,92.9056631801414,gcp,asia-east1,"Changhua County, Taiwan, APAC",24.0755667,120.5444667,5.0,225.0,Taipei,TW,5.0,225.0,4,8,3,0.975952772196138,1.0,0.646015014942309,0.5967059019644784,0.6579451640424391,82.54810210208392,97.59527721961379,-15.047175117529875
Nancy,Nancy,48.6936,6.1846,France,FR,FRA,Grand Est,minor,434565.0,1250925250,55,224.355194302312,89.38854918857956,azure,switzerlandnorth,"Zurich, Switzerland North, Europe",47.451542,8.564572,2.0,195.0,Nancy,FR,2.0,190.0,21,28,3,0.9633411850884368,1.0,0.9900324656668077,0.3195290562495912,0.6043176998776179,82.24183573044772,96.33411850884369,-14.092282778395969
Mannheim,Mannheim,49.4878,8.4661,Germany,DE,DEU,Baden-Württemberg,minor,309370.0,1276150104,92,70.97094154922955,96.51367568175988,gcp,europe-west3,"Frankfurt, Germany Europe",50.1106444,8.6820917,2.0,138.0,Mannheim,DE,2.0,138.0,22,29,3,0.9884036087577859,1.0,1.0,0.26780456898799265,0.5712143256337894,82.12142776963816,98.84036087577859,-16.718933106140426
Lyon,Lyon,45.76,4.84,France,FR,FRA,Auvergne-Rhône-Alpes,admin,516092.0,1250196189,72,112.16117302177666,94.54629412606974,azure,switzerlandwest,"Geneva, Switzerland West, Europe",46.204391,6.143158,2.0,94.0,Lyon,FR,2.0,94.0,22,26,3,0.9816732761866492,1.0,0.9690225224134634,0.345701189565515,0.5315696864716059,81.96133202422473,98.16732761866493,-16.205995594440196
Reading,Reading,51.4542,-0.9731,United Kingdom,GB,GBR,Reading,,337108.0,1826869043,38,58.340449450723455,97.12511194390343,azure,uksouth,"London, UK South, Europe",50.941,-0.799,2.0,107.0,Reading,GB,2.0,107.0,22,27,3,0.9904673847872243,1.0,0.9797151227215061,0.2808747352122052,0.5449292145235838,81.7014814783484,99.04673847872243,-17.345257000374033
San Jose,San Jose,37.3019,-121.8486,United States,US,USA,California,,1798103.0,1840021570,27,73.15724698836503,96.40822913980053,aws,us-west-1,US West (N. California),37.7790262,-122.419906,1.0,168.0,San Jose,US,1.0,168.0,8,10,3,0.988046374477195,1.0,0.705015029626574,0.5356991331596677,0.5704531163683948,81.68936416640734,98.8046374477195,-17.115273281312156
Saarbrücken,Saarbrucken,49.2333,7.0,Germany,DE,DEU,Saarland,admin,180741.0,1276419711,92,155.45796607702212,92.52151415643834,gcp,europe-west3,"Frankfurt, Germany Europe",50.1106444,8.6820917,2.0,318.0,Saarbrücken,DE,2.0,318.0,21,29,3,0.9745987391882422,1.0,1.0,0.18599218182899646,0.6577454303012444,81.6400137494833,97.45987391882423,-15.819860169340927
Genoa,Genoa,44.4072,8.934,Italy,IT,ITA,Liguria,admin,580097.0,1380716540,17,119.24245840603982,94.21213140519475,aws,eu-south-1,EU (Milan),45.4641943,9.1896346,1.0,83.0,Genoa,IT,1.0,83.0,16,25,3,0.9805162201575034,1.0,0.9579263337046495,0.36349693892214874,0.49763371084604696,81.50650355839282,98.05162201575034,-16.545118457357518
Marseille,Marseille,43.2964,5.37,France,FR,FRA,Provence-Alpes-Côte d’Azur,admin,870018.0,1250774071,69,262.5248629855509,87.69875950254993,azure,francesouth,"Marseille, France South, Europe",43.8345,2.1972,1.0,76.0,Marseille,FR,1.0,76.0,16,24,3,0.9571044013854971,1.0,0.9463948908766786,0.4251933973808637,0.48857022829796914,81.18655380375256,95.71044013854971,-14.523886334797155
Bielefeld,Bielefeld,52.0167,8.5333,Germany,DE,DEU,North Rhine-Westphalia,minor,333786.0,1276112885,70,118.96805332492626,94.22505843576523,azure,germanynorth,"Berlin, Germany North, Europe",53.073635,8.806422,1.0,101.0,Bielefeld,DE,1.0,101.0,23,29,3,0.9805610569401356,1.0,1.0,0.27936728728364363,0.5178578437051292,81.18081924243702,98.05610569401357,-16.875286451576542
Copenhagen,Copenhagen,55.6761,12.5689,Denmark,DK,DNK,Hovedstaden,primary,602481.0,1208763942,70,378.21037586940287,82.76994381210827,azure,germanynorth,"Berlin, Germany North, Europe",53.073635,8.806422,2.0,113.0,Copenhagen,DK,2.0,113.0,17,28,3,0.9382018133801403,1.0,0.9900324656668077,0.3692600021592876,0.5505610908753925,81.17587591572793,93.82018133801402,-12.644305422286095
Glasgow,Glasgow,55.8609,-4.2514,United Kingdom,GB,GBR,Glasgow City,,985290.0,1826836462,18,307.7122356347054,85.73953760550467,aws,eu-west-1,EU (Ireland),53.3497645,-6.2602732,1.0,48.0,Glasgow,GB,1.0,48.0,14,27,3,0.9497209506236971,1.0,0.9797151227215061,0.44413258959679147,0.441489496757262,80.96889616108128,94.9720950623697,-14.003198901288428
Nantes,Nantes,47.2181,-1.5528,France,FR,FRA,Pays de la Loire,admin,633690.0,1250091495,47,313.0840290413206,85.5095590516829,azure,francecentral,"Paris, France Central, Europe",46.3772,2.373,3.0,82.0,Nantes,FR,3.0,82.0,24,25,3,0.9488432193064051,1.0,0.9579263337046495,0.3769475395333486,0.5324868276855185,80.96413928610895,94.88432193064051,-13.920182644531565
Jaipur,Jaipur,26.9167,75.8667,India,IN,IND,Rājasthān,admin,3073350.0,1356293537,82,234.5044436222932,88.93608486682993,gcp,asia-south2,"Delhi, India APAC",28.6517178,77.2219388,2.0,132.0,Jaipur,IN,2.0,132.0,7,8,3,0.9616828350178289,1.0,0.646015014942309,0.6172931061220445,0.5666180945078624,80.9162066342964,96.1682835017829,-15.252076867486494
Montpellier,Montpellier,43.6119,3.8772,France,FR,FRA,Occitanie,minor,607896.0,1250819356,69,137.25130550148285,93.367613375798,azure,francesouth,"Marseille, France South, Europe",43.8345,2.1972,1.0,53.0,Montpellier,FR,1.0,53.0,19,24,3,0.9775736406710089,1.0,0.9463948908766786,0.3706219934255909,0.45161049436566014,80.6323563068593,97.7573640671009,-17.1250077602416
Tijuana,Tijuana,32.525,-117.0333,Mexico,MX,MEX,Baja California,minor,2384609.0,1484708778,108,203.78981012713515,90.3124460489337,gcp,us-west2,"Los Angeles, California, North America",34.0536909,-118.242766,1.0,119.0,Tijuana,MX,1.0,119.0,5,9,3,0.966701493346097,1.0,0.6769924925288455,0.578670538157107,0.5347865205310451,80.52480300209885,96.6701493346097,-16.145346332510854
