city_id,city,city_ascii,country,iso2,iso3,admin_name,population,dist_km_nearest_region,access_score,nearest_provider,nearest_region,nearest_location_name,observed_ai_works_recent,priority_rank,priority_rule,priority_distance_threshold_km
1608117314,Alamada,Alamada,Philippines,PH,PHL,Cotabato,64596.0,1904.242830712875,38.592145473857606,gcp,asia-east1,"Changhua County, Taiwan, APAC",0.0,1668,zero_observed_ai_and_distance_gte_q75,1251.605776472141
1608234277,La Carlota,La Carlota,Philippines,PH,PHL,Negros Occidental,64469.0,1539.4235920622136,46.31465297462986,gcp,asia-east1,"Changhua County, Taiwan, APAC",0.0,1669,zero_observed_ai_and_distance_gte_q75,1251.605776472141
1268394475,Sokhumi,Sokhumi,Georgia,GE,GEO,Abkhazia,64441.0,1385.8015847731137,50.01232092647238,aws,il-central-1,Middle East (Israel) - ???,0.0,1670,zero_observed_ai_and_distance_gte_q75,1251.605776472141
1340638121,Yoro,Yoro,Honduras,HN,HND,Yoro,64425.0,1969.5566070970021,37.35220262659429,azure,southcentralus,"Texas, South Central US, US",0.0,1671,zero_observed_ai_and_distance_gte_q75,1251.605776472141
1076194030,Ouricuri,Ouricuri,Brazil,BR,BRA,Pernambuco,64358.0,1703.1977539677537,42.67320940838092,azure,brazilsoutheast,"Rio, Brazil Southeast, South America",0.0,1672,zero_observed_ai_and_distance_gte_q75,1251.605776472141
1170711004,Ciénaga de Oro,Cienaga de Oro,Colombia,CO,COL,Córdoba,64226.0,2741.8001237735343,25.387835045994358,gcp,us-east1,"Moncks Corner, South Carolina, North America",0.0,1673,zero_observed_ai_and_distance_gte_q75,1251.605776472141
1643561210,Asbest,Asbest,Russia,RU,RUS,Sverdlovskaya Oblast’,64091.0,1990.7499242526667,36.958483824281814,gcp,europe-north1,"Hamina, Finland, Europe",0.0,1674,zero_observed_ai_and_distance_gte_q75,1251.605776472141
1076906021,Penedo,Penedo,Brazil,BR,BRA,Alagoas,64074.0,1569.1590661015398,45.63115253700454,azure,brazilsoutheast,"Rio, Brazil Southeast, South America",0.0,1675,zero_observed_ai_and_distance_gte_q75,1251.605776472141
1076866918,Tomé-Açu,Tome-Acu,Brazil,BR,BRA,Pará,64030.0,2339.2625782232335,31.04813980355558,azure,brazilsoutheast,"Rio, Brazil Southeast, South America",0.0,1676,zero_observed_ai_and_distance_gte_q75,1251.605776472141
1320747500,Sololá,Solola,Guatemala,GT,GTM,Sololá,63973.0,1793.6577773264212,40.78609837818267,azure,southcentralus,"Texas, South Central US, US",0.0,1677,zero_observed_ai_and_distance_gte_q75,1251.605776472141
